Id, Sepal Length, Sepal Width, Petal.Length, Petal.Width, Class
117,0.822785,0.727273,0.73913,0.8,3
118,0.835443,0.659091,0.666667,0.52,2
119,0.835443,0.681818,0.637681,0.56,2
120,0.848101,0.568182,0.84058,0.72,3
121,0.848101,0.681818,0.724638,0.68,2
122,0.848101,0.681818,0.753623,0.92,3
123,0.848101,0.704545,0.637681,0.56,2
124,0.848101,0.704545,0.681159,0.6,2
125,0.848101,0.704545,0.811594,0.96,3
126,0.848101,0.75,0.826087,0.84,3
127,0.848101,0.75,0.826087,1,3
128,0.860759,0.636364,0.695652,0.56,2
129,0.860759,0.681818,0.797101,0.84,3
130,0.860759,0.727273,0.855072,0.92,3
131,0.873418,0.704545,0.710145,0.6,2
132,0.873418,0.704545,0.73913,0.92,3
133,0.873418,0.704545,0.782609,0.84,3
134,0.873418,0.727273,0.826087,0.92,3
135,0.886076,0.727273,0.681159,0.56,2
136,0.898734,0.681818,0.855072,0.84,3
137,0.911392,0.681818,0.84058,0.64,3
138,0.911392,0.727273,0.869565,0.72,3
139,0.911392,0.818182,0.884058,1,3
140,0.924051,0.659091,0.913043,0.72,3
141,0.936709,0.636364,0.884058,0.76,3
142,0.962025,0.681818,0.956522,0.84,3
143,0.974684,0.590909,1,0.92,3
144,0.974684,0.636364,0.971014,0.8,3
145,0.974684,0.681818,0.884058,0.92,3
146,0.974684,0.863636,0.971014,0.88,3
147,1,0.863636,0.927536,0.8,3
